3000 20
1 1 8
1 2 8
1 3 10
1 4 6
1 5 3
1 6 3
1 7 10
1 8 1
1 9 10
1 10 9
1 11 1
1 12 8
1 13 1
1 14 5
1 15 7
1 16 10
1 17 3
1 18 7
1 19 5
1 20 3
2 1 7
2 2 2
2 3 3
2 4 1
2 5 3
2 6 5
2 7 5
2 8 7
2 9 5
2 10 1
2 11 1
2 12 5
2 13 5
2 14 7
2 15 4
2 16 1
2 17 5
2 18 4
2 19 1
2 20 8
3 1 4
3 2 1
3 3 9
3 4 1
3 5 10
3 6 2
3 7 7
3 8 1
3 9 10
3 10 4
3 11 4
3 12 3
3 13 2
3 14 10
3 15 3
3 16 7
3 17 3
3 18 4
3 19 4
3 20 4
4 1 7
4 2 7
4 3 4
4 4 10
4 5 9
4 6 7
4 7 5
4 8 2
4 9 4
4 10 7
4 11 5
4 12 10
4 13 7
4 14 6
4 15 9
4 16 6
4 17 5
4 18 1
4 19 8
4 20 6
5 1 10
5 2 1
5 3 8
5 4 8
5 5 5
5 6 10
5 7 6
5 8 7
5 9 7
5 10 8
5 11 2
5 12 2
5 13 9
5 14 6
5 15 3
5 16 1
5 17 10
5 18 8
5 19 2
5 20 4
6 1 3
6 2 1
6 3 3
6 4 5
6 5 5
6 6 2
6 7 1
6 8 2
6 9 9
6 10 3
6 11 7
6 12 1
6 13 7
6 14 7
6 15 10
6 16 4
6 17 2
6 18 1
6 19 3
6 20 2
7 1 9
7 2 2
7 3 1
7 4 7
7 5 2
7 6 1
7 7 5
7 8 6
7 9 9
7 10 1
7 11 5
7 12 5
7 13 4
7 14 4
7 15 9
7 16 8
7 17 7
7 18 9
7 19 2
7 20 7
8 1 7
8 2 7
8 3 3
8 4 2
8 5 1
8 6 3
8 7 7
8 8 10
8 9 8
8 10 9
8 11 10
8 12 8
8 13 1
8 14 3
8 15 10
8 16 10
8 17 2
8 18 4
8 19 1
8 20 7
9 1 7
9 2 3
9 3 7
9 4 9
9 5 2
9 6 6
9 7 9
