1000 30
1 1 3
1 2 9
1 3 1
1 4 7
1 5 4
1 6 4
1 7 2
1 8 10
1 9 9
1 10 1
1 11 5
1 12 3
1 13 8
1 14 1
1 15 9
1 16 10
1 17 10
1 18 9
1 19 2
1 20 4
1 21 4
1 22 7
1 23 3
1 24 5
1 25 5
1 26 6
1 27 2
1 28 4
1 29 7
1 30 9
2 1 4
2 2 3
2 3 8
2 4 9
2 5 7
2 6 2
2 7 9
2 8 5
2 9 8
2 10 4
2 11 5
2 12 9
2 13 3
2 14 4
2 15 8
2 16 8
2 17 2
2 18 4
2 19 3
2 20 8
2 21 1
2 22 7
2 23 8
2 24 1
2 25 10
2 26 10
2 27 5
2 28 8
2 29 5
2 30 5
3 1 9
3 2 5
3 3 8
3 4 6
3 5 2
3 6 2
3 7 3
3 8 10
3 9 4
3 10 6
3 11 5
3 12 6
3 13 8
3 14 7
3 15 8
3 16 8
3 17 3
3 18 4
3 19 5
3 20 1
3 21 5
3 22 10
3 23 4
3 24 5
3 25 6
3 26 8
3 27 3
3 28 6
3 29 7
3 30 3
4 1 6
4 2 9
4 3 4
4 4 5
4 5 10
4 6 9
4 7 5
4 8 2
4 9 5
4 10 3
4 11 1
4 12 4
4 13 2
4 14 3
4 15 2
4 16 4
4 17 1
4 18 5
4 19 10
4 20 8
4 21 7
4 22 3
4 23 7
4 24 8
4 25 10
4 26 10
4 27 8
4 28 5
4 29 8
4 30 4
5 1 8
5 2 5
5 3 4
5 4 4
5 5 5
5 6 9
5 7 3
5 8 10
5 9 6
5 10 1
5 11 3
5 12 8
5 13 10
5 14 3
5 15 2
5 16 6
5 17 5
5 18 2
5 19 1
5 20 1
5 21 9
5 22 7
5 23 10
5 24 7
5 25 7
5 26 8
5 27 2
5 28 5
5 29 10
5 30 7
6 1 8
6 2 1
6 3 6
6 4 8
6 5 2
6 6 4
6 7 6
6 8 5
6 9 4
6 10 7
6 11 7
6 12 10
6 13 8
6 14 1
6 15 7
6 16 2
6 17 7
6 18 1
6 19 2
6 20 1
6 21 10
6 22 3
6 23 6
6 24 7
6 25 9
6 26 5
6 27 6
6 28 6
6 29 9
6 30 4
7 1 6
7 2 2
7 3 6
7 4 7
7 5 7
7 6 3
7 7 7
7 8 1
7 9 1
7 10 5
7 11 10
7 12 5
7 13 9
7 14 6
7 15 3
7 16 6
7 17 6
7 18 10
7 19 9
7 20 6
7 21 3
7 22 10
7 23 7
7 24 1
7 25 7
7 26 8
7 27 9
7 28 1
7 29 2
7 30 8
8 1 5
8 2 6
8 3 7
8 4 5
8 5 3
8 6 2
8 7 9
8 8 6
8 9 2
8 10 7
8 11 6
8 12 10
8 13 8
8 14 4
8 15 5
8 16 7
8 17 3
8 18 4
8 19 10
8 20 3
8 21 1
8 22 1
8 23 10
8 24 2
8 25 5
8 26 7
8 27 6
8 28 1
8 29 6
8 30 5
9 1 7
9 2 1
9 3 5
9 4 1
9 5 1
9 6 3
9 7 10
9 8 9
9 9 6
9 10 8
9 11 10
9 12 10
9 13 5
9 14 7
9 15 4
9 16 5
9 17 7
9 18 7
9 19 7
9 20 7
9 21 9
9 22 4
9 23 5
9 24 4
9 25 1
9 26 6
9 27 3
9 28 2
9 29 3
9 30 3
10 1 2
10 2 10
10 3 7
10 4 3
10 5 10
10 6 3
10 7 3
10 8 8
10 9 10
10 10 8
10 11 10
10 12 8
10 13 9
10 14 8
10 15 10
10 16 6
10 17 1
10 18 2
10 19 7
10 20 10
10 21 1
10 22 1
10 23 10
10 24 4
10 25 4
10 26 3
10 27 8
10 28 4
10 29 6
10 30 10
11 1 10
11 2 5
11 3 5
11 4 9
11 5 8
11 6 8
11 7 5
11 8 1
11 9 4
11 10 8
11 11 4
11 12 1
11 13 1
11 14 9
11 15 10
11 16 5
11 17 7
11 18 6
11 19 10
11 20 9
11 21 7
11 22 7
11 23 7
11 24 9
11 25 6
11 26 3
11 27 1
11 28 2
11 29 3
11 30 9
12 1 9
12 2 9
12 3 3
12 4 6
12 5 5
12 6 7
12 7 6
12 8 8
12 9 9
12 10 9
12 11 4
12 12 2
12 13 8
12 14 7
12 15 9
12 16 9
12 17 9
12 18 1
12 19 7
12 20 4
12 21 6
12 22 1
12 23 7
12 24 2
12 25 8
12 26 1
12 27 9
12 28 5
12 29 1
12 30 7
13 1 8
13 2 2
13 3 5
13 4 10
13 5 4
13 6 2
13 7 9
13 8 3
13 9 9
13 10 4
13 11 1
13 12 1
13 13 3
13 14 5
13 15 7
13 16 6
13 17 10
13 18 6
13 19 2
13 20 7
13 21 4
13 22 8
13 23 1
13 24 2
13 25 2
13 26 5
13 27 8
13 28 10
13 29 7
13 30 5
14 1 1
14 2 2
14 3 10
14 4 7
14 5 6
14 6 9
14 7 10
14 8 3
14 9 10
14 10 4
14 11 2
14 12 9
14 13 10
14 14 4
14 15 3
14 16 10
14 17 9
14 18 4
14 19 9
14 20 8
14 21 7
14 22 10
14 23 5
14 24 5
14 25 9
14 26 9
14 27 6
14 28 5
14 29 6
14 30 4
15 1 9
15 2 6
15 3 9
15 4 9
15 5 7
15 6 8
15 7 1
15 8 9
15 9 3
15 10 4
15 11 5
15 12 6
15 13 5
15 14 10
15 15 1
15 16 7
15 17 2
15 18 6
15 19 4
15 20 8
15 21 4
15 22 5
15 23 2
15 24 2
15 25 1
15 26 9
15 27 10
15 28 4
15 29 3
15 30 3
16 1 1
16 2 3
16 3 2
16 4 3
16 5 2
16 6 1
16 7 5
16 8 2
16 9 7
16 10 8
16 11 9
16 12 6
16 13 8
16 14 3
16 15 5
16 16 5
16 17 1
16 18 3
16 19 9
16 20 1
16 21 5
16 22 3
16 23 8
16 24 5
16 25 2
16 26 9
16 27 6
16 28 5
16 29 8
16 30 9
17 1 5
17 2 3
17 3 6
17 4 8
17 5 8
17 6 1
17 7 8
17 8 9
17 9 6
17 10 6
17 11 1
17 12 4
17 13 10
17 14 7
17 15 2
17 16 1
17 17 5
17 18 2
17 19 8
17 20 5
17 21 10
17 22 9
17 23 5
17 24 4
17 25 10
17 26 6
17 27 10
17 28 4
17 29 4
17 30 8
18 1 2
18 2 9
18 3 10
18 4 3
18 5 2
18 6 1
18 7 2
18 8 4
18 9 6
18 10 9
18 11 6
18 12 1
18 13 4
18 14 2
18 15 10
18 16 6
18 17 2
18 18 7
18 19 8
18 20 6
18 21 7
18 22 2
18 23 8
18 24 3
18 25 8
18 26 10
18 27 6
18 28 2
18 29 3
18 30 5
19 1 1
19 2 4
19 3 4
19 4 8
19 5 4
19 6 4
19 7 2
19 8 3
19 9 6
19 10 6
19 11 6
19 12 5
19 13 7
19 14 7
19 15 5
19 16 8
19 17 7
19 18 2
19 19 1
19 20 3
19 21 7
19 22 10
19 23 5
19 24 1
19 25 7
19 26 8
19 27 2
19 28 10
19 29 6
19 30 7
20 1 1
20 2 4
20 3 9
20 4 8
20 5 1
20 6 1
20 7 5
20 8 10
20 9 1
20 10 8
20 11 2
20 12 2
20 13 9
20 14 6
20 15 3
20 16 10
20 17 3
20 18 7
20 19 9
20 20 7
20 21 10
20 22 9
20 23 10
20 24 4
20 25 3
20 26 1
20 27 6
20 28 8
20 29 4
20 30 7
21 1 7
21 2 4
21 3 5
21 4 7
21 5 7
21 6 3
21 7 7
21 8 8
