150 10
1 1 3
1 2 1
1 3 1
1 4 8
1 5 3
1 6 10
1 7 2
1 8 6
1 9 1
1 10 2
2 1 3
2 2 8
2 3 10
2 4 8
2 5 8
2 6 10
2 7 3
2 8 5
2 9 4
2 10 3
3 1 6
3 2 3
3 3 3
3 4 9
3 5 2
3 6 4
3 7 1
3 8 2
3 9 1
3 10 8
4 1 9
4 2 2
4 3 3
4 4 4
4 5 5
4 6 9
4 7 7
4 8 6
4 9 3
4 10 1
5 1 8
5 2 9
5 3 3
5 4 1
5 5 3
5 6 4
5 7 4
5 8 8
5 9 6
5 10 1
6 1 10
6 2 2
6 3 3
6 4 2
6 5 9
6 6 5
6 7 7
6 8 2
6 9 9
6 10 10
7 1 10
7 2 7
7 3 9
7 4 8
7 5 7
7 6 4
7 7 1
7 8 7
7 9 5
7 10 2
8 1 8
8 2 1
8 3 6
8 4 7
8 5 2
8 6 6
8 7 3
8 8 2
8 9 8
8 10 2
9 1 3
9 2 4
9 3 6
9 4 4
9 5 3
9 6 7
9 7 9
9 8 6
9 9 8
9 10 10
10 1 1
10 2 1
10 3 8
10 4 3
10 5 3
10 6 7
10 7 9
10 8 2
10 9 1
10 10 6
11 1 2
11 2 3
11 3 6
11 4 9
11 5 1
11 6 7
11 7 5
11 8 9
11 9 3
11 10 2
12 1 4
12 2 5
12 3 1
12 4 4
12 5 5
12 6 1
12 7 7
12 8 2
12 9 5
12 10 3
13 1 5
13 2 6
13 3 6
13 4 8
13 5 1
13 6 6
13 7 4
13 8 8
13 9 3
13 10 1
14 1 6
14 2 6
14 3 9
14 4 10
14 5 10
14 6 5
14 7 9
14 8 10
14 9 9
14 10 5
15 1 2
15 2 5
15 3 2
15 4 3
15 5 6
15 6 10
15 7 5
15 8 3
15 9 8
15 10 10
16 1 6
16 2 4
16 3 6
16 4 5
16 5 5
16 6 4
16 7 8
16 8 5
16 9 4
16 10 1
17 1 10
17 2 10
17 3 2
17 4 5
17 5 9
17 6 8
17 7 9
17 8 6
17 9 8
17 10 5
18 1 1
18 2 6
18 3 2
18 4 6
18 5 8
18 6 10
18 7 8
18 8 7
18 9 4
18 10 3
19 1 3
19 2 1
19 3 2
19 4 10
19 5 6
19 6 5
19 7 3
19 8 9
19 9 8
19 10 4
20 1 1
20 2 5
20 3 9
20 4 10
20 5 9
20 6 4
20 7 6
20 8 10
20 9 4
20 10 5
21 1 10
21 2 1
21 3 8
21 4 8
21 5 4
21 6 3
21 7 6
21 8 3
21 9 4
21 10 2
22 1 7
22 2 8
22 3 8
22 4 3
22 5 5
22 6 7
22 7 4
22 8 5
22 9 4
22 10 7
23 1 9
23 2 2
23 3 9
23 4 3
23 5 9
23 6 3
23 7 8
23 8 3
23 9 4
23 10 7
24 1 8
24 2 2
24 3 3
24 4 6
24 5 5
24 6 9
24 7 9
24 8 5
24 9 2
24 10 2
25 1 1
25 2 10
25 3 10
25 4 10
25 5 5
25 6 8
25 7 10
25 8 1
25 9 3
25 10 6
26 1 6
26 2 4
26 3 8
26 4 8
26 5 7
26 6 1
26 7 6
26 8 6
26 9 6
26 10 10
27 1 4
27 2 10
27 3 1
27 4 3
27 5 7
27 6 5
27 7 6
27 8 3
27 9 5
27 10 6
28 1 7
28 2 5
28 3 8
28 4 2
28 5 10
28 6 4
28 7 6
28 8 7
28 9 7
28 10 10
29 1 3
29 2 3
29 3 7
29 4 10
29 5 2
29 6 7
29 7 3
29 8 1
29 9 9
29 10 10
30 1 9
30 2 2
30 3 3
30 4 6
30 5 9
30 6 8
30 7 4
30 8 8
30 9 3
30 10 9
31 1 1
31 2 1
31 3 2
31 4 10
31 5 3
31 6 1
31 7 3
31 8 2
31 9 2
31 10 1
32 1 4
32 2 4
32 3 8
32 4 5
32 5 5
32 6 6
32 7 5
32 8 8
32 9 3
32 10 2
33 1 1
33 2 2
33 3 1
33 4 7
33 5 1
33 6 7
33 7 3
33 8 9
33 9 7
33 10 1
34 1 9
34 2 10
34 3 10
34 4 10
34 5 5
34 6 2
34 7 3
34 8 9
34 9 7
34 10 8
35 1 9
35 2 9
35 3 4
35 4 10
35 5 2
35 6 4
35 7 5
35 8 8
35 9 10
35 10 1
36 1 8
36 2 5
36 3 6
36 4 3
36 5 10
36 6 9
36 7 3
36 8 8
36 9 10
36 10 3
37 1 3
37 2 5
37 3 8
37 4 10
37 5 10
37 6 2
37 7 6
37 8 3
37 9 9
37 10 7
38 1 7
38 2 2
38 3 9
38 4 8
38 5 8
38 6 10
38 7 5
38 8 9
38 9 6
38 10 9
39 1 2
39 2 5
39 3 9
39 4 6
39 5 5
39 6 2
39 7 10
39 8 8
39 9 2
39 10 1
40 1 3
40 2 2
40 3 5
40 4 9
40 5 10
40 6 4
40 7 10
40 8 10
40 9 8
40 10 2
41 1 9
41 2 10
41 3 1
41 4 4
41 5 9
41 6 2
41 7 6
41 8 7
41 9 9
41 10 6
42 1 9
42 2 9
42 3 3
42 4 2
42 5 4
42 6 4
42 7 4
42 8 10
42 9 9
42 10 3
43 1 4
43 2 4
43 3 8
43 4 4
43 5 3
43 6 3
43 7 4
43 8 4
43 9 1
43 10 6
44 1 9
44 2 7
44 3 7
44 4 7
44 5 7
44 6 8
44 7 1
44 8 9
44 9 2
44 10 10
45 1 10
45 2 2
45 3 4
45 4 9
45 5 4
45 6 7
45 7 5
45 8 1
45 9 8
45 10 3
46 1 9
46 2 6
46 3 8
46 4 2
46 5 1
46 6 2
46 7 7
46 8 9
46 9 6
46 10 2
47 1 1
47 2 7
47 3 1
47 4 5
47 5 8
47 6 3
47 7 10
47 8 1
47 9 2
47 10 6
48 1 8
48 2 1
48 3 6
48 4 5
48 5 1
48 6 7
48 7 7
48 8 4
48 9 7
48 10 7
49 1 3
49 2 2
49 3 8
49 4 9
49 5 7
49 6 4
49 7 6
