900 20
1 1 2
1 2 1
1 3 2
1 4 10
1 5 2
1 6 1
1 7 7
1 8 10
1 9 6
1 10 4
1 11 1
1 12 6
1 13 1
1 14 3
1 15 9
1 16 2
1 17 5
1 18 6
1 19 4
1 20 5
2 1 8
2 2 2
2 3 2
2 4 5
2 5 3
2 6 10
2 7 6
2 8 10
2 9 5
2 10 3
2 11 5
2 12 2
2 13 7
2 14 5
2 15 3
2 16 1
2 17 7
2 18 3
2 19 1
2 20 2
3 1 9
3 2 1
3 3 6
3 4 8
3 5 9
3 6 2
3 7 6
3 8 10
3 9 10
3 10 3
3 11 2
3 12 3
3 13 8
3 14 10
3 15 5
3 16 4
3 17 6
3 18 10
3 19 9
3 20 3
4 1 3
4 2 9
4 3 9
4 4 6
4 5 3
4 6 5
4 7 10
4 8 9
4 9 4
4 10 3
4 11 10
4 12 7
4 13 2
4 14 2
4 15 5
4 16 7
4 17 4
4 18 3
4 19 9
4 20 10
5 1 2
5 2 6
5 3 6
5 4 6
5 5 3
5 6 8
5 7 6
5 8 8
5 9 9
5 10 3
5 11 2
5 12 2
5 13 10
5 14 10
5 15 9
5 16 6
5 17 6
5 18 2
5 19 5
5 20 3
6 1 10
6 2 10
6 3 8
6 4 10
6 5 5
6 6 5
6 7 9
6 8 2
6 9 10
6 10 3
6 11 7
6 12 2
6 13 2
6 14 10
6 15 6
6 16 8
6 17 5
6 18 9
6 19 8
6 20 2
7 1 1
7 2 9
7 3 8
7 4 8
7 5 1
7 6 9
7 7 10
7 8 2
7 9 10
7 10 5
7 11 2
7 12 5
7 13 8
7 14 9
7 15 2
7 16 1
7 17 9
7 18 1
7 19 7
7 20 2
8 1 4
8 2 10
8 3 5
8 4 6
8 5 1
8 6 3
8 7 9
8 8 1
8 9 8
8 10 10
8 11 4
8 12 10
8 13 10
8 14 9
8 15 6
8 16 3
8 17 8
8 18 4
8 19 10
8 20 1
9 1 5
9 2 5
9 3 3
9 4 3
9 5 10
9 6 4
9 7 2
9 8 4
9 9 10
9 10 2
9 11 7
9 12 6
9 13 2
9 14 4
9 15 6
9 16 7
9 17 2
9 18 3
9 19 4
9 20 9
10 1 5
10 2 1
