1200 40
1 1 1
1 2 6
1 3 5
1 4 9
1 5 2
1 6 4
1 7 1
1 8 4
1 9 5
1 10 9
1 11 8
1 12 8
1 13 1
1 14 10
1 15 4
1 16 3
1 17 4
1 18 4
1 19 8
1 20 4
1 21 1
1 22 4
1 23 9
1 24 9
1 25 3
1 26 3
1 27 5
1 28 4
1 29 4
1 30 10
1 31 8
1 32 10
1 33 4
1 34 2
1 35 2
1 36 8
1 37 3
1 38 7
1 39 2
1 40 5
2 1 1
2 2 3
2 3 1
2 4 4
2 5 9
2 6 6
2 7 7
2 8 1
2 9 6
2 10 5
2 11 5
2 12 10
2 13 9
2 14 4
2 15 4
2 16 8
2 17 9
2 18 6
2 19 4
2 20 4
2 21 7
2 22 4
2 23 8
2 24 1
2 25 1
2 26 3
2 27 5
2 28 7
2 29 3
2 30 9
2 31 6
2 32 4
2 33 7
2 34 3
2 35 8
2 36 9
2 37 8
2 38 8
2 39 10
2 40 10
3 1 7
3 2 5
3 3 4
3 4 7
3 5 2
3 6 10
3 7 2
3 8 2
3 9 2
3 10 4
3 11 8
3 12 7
3 13 10
3 14 8
3 15 8
3 16 8
3 17 1
3 18 2
3 19 2
3 20 6
3 21 1
3 22 4
3 23 1
3 24 7
3 25 3
3 26 6
3 27 5
3 28 3
3 29 6
3 30 6
3 31 10
3 32 10
3 33 8
3 34 7
3 35 9
3 36 7
3 37 6
3 38 6
3 39 2
3 40 1
4 1 3
4 2 4
4 3 5
4 4 3
4 5 2
4 6 7
4 7 3
4 8 6
4 9 5
4 10 6
4 11 8
4 12 5
4 13 10
4 14 10
4 15 1
4 16 2
4 17 6
4 18 10
4 19 2
4 20 3
4 21 2
4 22 3
4 23 6
4 24 3
4 25 3
4 26 2
4 27 9
4 28 9
4 29 8
4 30 1
4 31 5
4 32 5
4 33 10
4 34 6
4 35 9
4 36 1
4 37 9
4 38 8
4 39 3
4 40 2
5 1 2
5 2 10
5 3 9
5 4 6
5 5 9
5 6 4
5 7 5
5 8 5
5 9 9
5 10 10
5 11 8
5 12 4
5 13 3
5 14 1
5 15 9
5 16 7
5 17 4
5 18 6
5 19 2
5 20 3
5 21 9
5 22 4
5 23 1
5 24 7
5 25 3
5 26 10
5 27 3
5 28 2
5 29 10
5 30 7
5 31 10
5 32 10
5 33 8
5 34 7
5 35 9
5 36 7
5 37 6
5 38 6
5 39 7
5 40 7
